id,mainImage,marker,locationName,address,locationLink,price,price-sqft,area-sqft,acres,link,documents,latitude,longitude,locationType,numImages,image,bedrooms
london-32,Southbank-Place.jpg,,Southbank Place,"Southbank Place, Belvedere Gardens, London, SE1 7NJ",https://goo.gl/maps/NtqVvJg3uLFNpZQy7,Price on Application,N/A,"3,862",,https://search.savills.com/gg/en/property-detail/gblhrdlad212069,,51.50393368,-0.115210629,,,,
london-33,80-Holland-Park.jpg,,80 Holland Park,"80 Holland Park, London, W11 3SG",https://goo.gl/maps/jLuynPR3AcPR19jV8,Price on Application,N/A,"3,608",,https://search.savills.com/gg/en/property-detail/gbkehslad212064,,51.50679087,-0.203470944,,,,
london-40,South-Bank-Tower.jpg,,South Bank Tower,"South Bank Tower, Upper Ground, London, SE1",https://goo.gl/maps/HTF5Tyn1UrgEi3kw8,Price on Application,N/A,"4,315",,https://www.knightfrank.co.uk/properties/residential/for-sale/south-bank-tower-upper-ground-london-se1/sbk012162688,,51.50760718,-0.10737743,,,,
london-41,South-Bank-Tower-2.jpg,,South Bank Tower,"South Bank Tower, Upper Ground, London, SE1",https://goo.gl/maps/HTF5Tyn1UrgEi3kw8,Price on Application,N/A,"4,095",,https://www.knightfrank.co.uk/properties/residential/for-sale/south-bank-tower-upper-ground-london-se1/sbk012145052,,51.50751165,-0.107276144,,,,
london-15,Belgravia-Gate-Penthouse.jpg,,Belgravia Gate Penthouse,"Belgravia Gate Penthouse, Grosvenor Crescent, London, SW1X 7EE",https://goo.gl/maps/CWnbJgrH1iZYq2Wq5,N/A,N/A,"5,705",,https://search.savills.com/gg/en/property-detail/gblhrdlad210276,,51.50165594,-0.153266357,,,,
london-29,Chelsea-Barracks.jpg,,Chelsea Barracks,"Chelsea Barracks, Belgravia, London, SW1W 8BW",https://goo.gl/maps/kTPn3nSouWyqqeoA9,N/A,N/A,"1,392 - 14,956",,https://search.savills.com/gg/en/property-detail/gblhrdlad142061,,51.4893359,-0.15420216,,,,
london-34,Holland-Park-Gate.jpg,,Holland Park Gate,"Holland Park Gate, Kensington High Street, London, W8 6NA",https://goo.gl/maps/h8MzYRKwSpNw8M8H7,Price on Application,N/A,"764 - 3,142",,https://search.savills.com/gg/en/property-detail/gblhrdlad220091,,51.49872593,-0.199310986,,,,
london-17,1-Grosvenor-Square.jpg,,No.1 Grosvenor Square,"No.1 Grosvenor Square, London, W1K 6LE",https://goo.gl/maps/UjwCioNUDZSxpJs37,"£27,500,000","£6,750","4,074",,https://search.savills.com/gg/en/property-detail/gblhrdlad210273,,51.5115851,-0.149407943,,,,
london-19,Cambridge-Gate.jpg,,Cambridge Gate,"Cambridge Gate, Regent's Park, London, NW1 4JX",https://goo.gl/maps/Jp7pJMYRr9EvDwaVA,"£25,500,000","£4,438","5,746",,https://search.savills.com/gg/en/property-detail/gbsjrssts200138,,51.52648505,-0.145469179,,,,5
london-21,Cornwall-Terrace.jpg,,Cornwall Terrace,"Cornwall Terrace, Regent's Park, London, NW1 4QP",https://goo.gl/maps/9F9vZkDSsSybFQdD6,"£25,000,000","£2,714","9,213",,https://search.savills.com/gg/en/property-detail/gbsjrssts170027,,51.52375303,-0.15699503,,,,5
london-35a,Twenty-Grosvenor-Square.jpg,,Twenty Grosvenor Square - Apartment 2.01,"Twenty Grosvenor Square, Mayfair, London, W1K 6LE",https://goo.gl/maps/5mpJmvwAQwRmCHgH8,"£38,500,000","£6,667","5,775",,https://search.savills.com/gg/en/property-detail/gblhrdlad142063,"[[""Floor Plan"",""Twenty Grosvenor Square - Floor plan 2.01.pdf""]]",51.5122,-0.1527,,,,5
london-35b,Twenty-Grosvenor-Square.jpg,,Twenty Grosvenor Square - Apartment 4.02,"Twenty Grosvenor Square, Mayfair, London, W1K 6LE",https://goo.gl/maps/5mpJmvwAQwRmCHgH8,"£38,000,000","£6,766","5,616",,https://search.savills.com/gg/en/property-detail/gblhrdlad142063,"[[""Floor Plan"",""Twenty Grosvenor Square - Floor plan 4.02.pdf""]]",51.512,-0.1525,,,,5
london-38,The-Whiteley.jpg,,The Whiteley - 801 North,"The Whiteley, Queensway, London, W2 4YN",https://goo.gl/maps/E7BGmwNxP44bKFAU8,"£39,500,000","£6,973","5,665",,https://search.savills.com/gg/en/property-detail/gblhrdlad201820,,51.51456155,-0.188433015,,,,1 to 3
london-39,The-Peninsula.jpg,,The Peninsula Residences,"The Peninsula Residences, Belgravia, London, SW1X",https://goo.gl/maps/cSoWRPvpXEQNbXLP7,Price on Application,N/A,"2,174 - 5,748",,https://www.knightfrank.co.uk/properties/residential/for-sale/the-peninsula-residences-belgravia-london-sw1x/krd180824-dev,,51.5017124,-0.151802188,,,,2 to 4
london-37,Mandarin-Oriental.jpg,,The Residences by Mandarin Oriental,"The Residences by Mandarin Oriental, London, Mayfair, W1S 1JA",https://goo.gl/maps/KKN5eti68b4x8ryz9,Price on Application,N/A,415,,https://search.savills.com/gg/en/property-detail/gblhrdlad170504,,51.5134078,-0.144143171,,,,?
london-54,Lennox-Gardens.jpg,,Lennox Gardens,"Lennox Gardens, Knightsbridge SW1X",https://goo.gl/maps/s75WHRHko12aXVSQA,"£26,500,000","£5,019","5,280",,https://www.rokstone.com/property-for-sale-lennox-gardens-london-pi-roks2723.htm,,51.49569547,-0.162496924,,,,?
