id,mainImage,marker,locationName,locationLink,price,price/sqm,area-sqm,acres,link,documents,latitude,longitude,locationType
setubal-1,joaosbuilding.jpg,red,R. Serpa Pinto 8,https://goo.gl/maps/qbynj4vk9y4kjxTd8,"€ 75,000",€ 620,121,,,,38.52399,-8.8919,
setubal-2,R_do_Maj_Afonso_Pala.jpg,normal,R. do Maj. Afonso Pala,https://goo.gl/maps/Ne36h7V2yed1XBnU9,"€ 283,000","€ 1,387",204,,https://www.remax.pt/123991028-197,,38.52479,-8.89007,
setubal-3,R_dos_Correeiros_6.jpg,normal,R. dos Correeiros 6,https://goo.gl/maps/PqTBna1Qk2GyMWPx8,"€ 650,000","€ 2,166",300,,https://www.remax.pt/imoveis/arrendamento-industrial-t0-setubal-setubal-sao-juliao-nossa-senhora-da-anunciada-e-santa-maria-da-graca/123991126-14,,38.524063,-8.891739,
setubal-4,Largo_do_Dr_Francisco_Soveral_7.jpg,normal,Largo do Dr. Francisco Soveral 7,https://goo.gl/maps/YMoU7MGxHq8VAQnz8,"€ 650,000","€ 2,549",255,,https://www.sothebysrealtypt.com/properties/building-setubal-sao-juliao-nossa-senhora-da-anunciada-e-santa-maria-da-graca-s_pt1_51484#,,38.523739,-8.892008,
setubal-5,Praça_de_Bocage.jpg,normal,"Rua Luís de Camões, 43 a 47",https://goo.gl/maps/LCcKzNSrZQhyo5Gw7,"€ 229,900","€ 1,754",131,,https://www.remax.pt/123991091-40,,38.524515,-8.891995,
setubal-31,Rus_dos_Correeiros_44.jpg,normal,R. dos Correeiros 44,https://goo.gl/maps/cBGx77SMFMWS1Bg57,"€ 385,000","€ 1,146",205,,https://www.remax.pt/imoveis/venda-predio-setubal-setubal-sao-juliao-nossa-senhora-da-anunciada-e-santa-maria-da-graca/125851004-145,,38.524727,-8.891671,
setubal-7,Av_5_de_Outubro_105.jpg,normal,Av. 5 de Outubro 105,https://goo.gl/maps/FJnUrgyByzaNNt718,"€ 330,600",€ 989,334,,https://www.remax.pt/123991007-413,,38.525408,-8.893195,
setubal-8,Tv_de_Nenhures_8.jpg,normal,"Rua do Romeu, 20 e 22, 3º Andar",https://goo.gl/maps/SxjogwcbK1fjNaSz9,"€ 329,900","€ 1,768",186,,https://www.remax.pt/123991091-39,,38.524293,-8.892022,
setubal-9,R_João_Eloy_do_Amaral_61.jpg,normal,"Rua Acacio Barradas, 19A-25E",https://goo.gl/maps/46hgtUb8MsnDL1Ua7,"€ 685,000","€ 1,703",402,,https://www.remax.pt/123991084-95,,38.525554,-8.896438,
setubal-10,R_dos_Mareantes.jpg,normal,R. dos Mareantes,https://goo.gl/maps/eL5EKxzVX9JHeVEx5,"€ 150,000","€ 1,056",142,,https://www.remax.pt/124291007-476,,38.523441,-8.889469,
